player,team,position,club_goals_2526,club_apps_2526
Kylian Mbappé,France,FW,42,44
Harry Kane,England,FW,61,51
Romelu Lukaku,Belgium,FW,1,7
Erling Haaland,Norway,FW,38,52
Memphis Depay,Netherlands,FW,,
Cristiano Ronaldo,Portugal,FW,30,37
Ayoub El Kaabi,Morocco,FW,21,38
Ferran Torres,Spain,FW,,
Mikel Oyarzabal,Spain,FW,18,40
Mehdi Taremi,Iran,FW,16,39
Raúl Jiménez,Mexico,FW,10,43
James Rodríguez,Colombia,MF,3,17
Son Heung-min,South Korea,FW,,
Sadio Mané,Senegal,FW,14,36
Neymar,Brazil,FW,,
Jonathan David,Canada,FW,8,46
Mohamed Salah,Egypt,FW,12,41
Kai Havertz,Germany,FW,7,24
Enner Valencia,Ecuador,FW,8,22
Lautaro Martínez,Argentina,FW,22,41
Lionel Messi,Argentina,FW,,
"Luis Díaz (footballer, born 1997)",Colombia,FW,26,51
Riyad Mahrez,Algeria,FW,8,44
Cyle Larin,Canada,FW,10,37
Christian Pulisic,United States,FW,10,34
"Chris Wood (footballer, born 1991)",New Zealand,FW,5,20
Leroy Sané,Germany,MF,7,43
Duckens Nazon,Haiti,FW,2,19
Alexander Sørloth,Norway,FW,20,54
Leon Goretzka,Germany,MF,5,48
Dani Olmo,Spain,FW,8,49
Viktor Gyökeres,Sweden,FW,21,55
Eldor Shomurodov,Uzbekistan,FW,23,44
Kevin De Bruyne,Belgium,MF,5,21
Ayase Ueda,Japan,FW,26,40
Bruno Fernandes,Portugal,MF,9,37
Hakan Çalhanoğlu,Turkey,MF,12,30
Andrej Kramarić,Croatia,FW,15,36
Marcus Rashford,England,FW,14,49
Jordan Ayew,Ghana,FW,6,45
Marko Arnautović,Austria,FW,10,32
Frantzdy Pierrot,Haiti,FW,4,21
Mikel Merino,Spain,MF,6,34
Patrik Schick,Czech Republic,FW,22,42
Junya Itō,Japan,MF,7,36
Alexander Isak,Sweden,FW,4,22
Mohamed Amoura,Algeria,FW,8,33
Ivan Perišić,Croatia,FW,10,43
Florian Wirtz,Germany,MF,7,49
Aymen Hussein,Iraq,FW,,
Cody Gakpo,Netherlands,FW,9,52
Edin Džeko,Bosnia and Herzegovina,FW,,
Brahim Díaz,Morocco,FW,2,42
Bukayo Saka,England,FW,11,49
Daichi Kamada,Japan,MF,1,46
Marcel Sabitzer,Austria,MF,1,34
Musa Al-Taamari,Jordan,FW,7,35
Joshua Kimmich,Germany,DF,2,49
Jackson Irvine,Australia,MF,0,26
Soufiane Rahimi,Morocco,FW,,
Granit Xhaka,Switzerland,MF,1,36
Almoez Ali,Qatar,FW,,
Darwin Núñez,Uruguay,FW,9,24
Giorgian de Arrascaeta,Uruguay,MF,,
Michael Gregoritsch,Austria,FW,9,31
Kōki Ogawa (footballer),Japan,FW,9,29
Ritsu Dōan,Japan,MF,7,40
Ismaïla Sarr,Senegal,FW,21,45
Kerem Aktürkoğlu,Turkey,FW,16,49
Franck Kessié,Ivory Coast,MF,12,42
Achraf Hakimi,Morocco,DF,3,32
Lucas Paquetá,Brazil,MF,5,19
Mohanad Ali,Iraq,FW,,
John McGinn,Scotland,MF,10,44
Mathew Leckie,Australia,FW,,
Keito Nakamura,Japan,MF,14,32
Orbelín Pineda,Mexico,MF,4,27
Harry Souttar,Australia,DF,1,2
Tomáš Souček,Czech Republic,MF,6,39
Trézéguet (Egyptian footballer),Egypt,FW,,
Alireza Jahanbakhsh,Iran,MF,0,7
Hwang Hee-chan,South Korea,MF,3,31
Julián Alvarez,Argentina,FW,20,49
Salem Al-Dawsari,Saudi Arabia,FW,10,35
Ousmane Dembélé,France,FW,20,40
Adrien Rabiot,France,MF,6,33
Awer Mabil,Australia,FW,,
Raphinha,Brazil,FW,21,33
Wout Weghorst,Netherlands,FW,9,34
Donyell Malen,Netherlands,FW,22,49
Fabián Ruiz,Spain,MF,2,34
Azzedine Ounahi,Morocco,MF,5,24
Ismael Saibari,Morocco,MF,19,37
Yerry Mina,Colombia,DF,2,27
Nicolas Pépé,Ivory Coast,FW,8,46
Ibrahim Sangaré (Ivorian footballer),Ivory Coast,MF,2,43
Breel Embolo,Switzerland,FW,10,34
Miguel Almirón,Paraguay,MF,,
Ricardo Pepi,United States,FW,19,34
Igor Sergeev,Uzbekistan,FW,3,6
Ao Tanaka,Japan,MF,4,33
Akram Afif,Qatar,FW,12,22
Rubén Vargas,Switzerland,FW,3,24
Zeki Amdouni,Switzerland,FW,0,4
Cédric Bakambu,DR Congo,FW,4,27
Federico Valverde,Uruguay,MF,9,49
Thomas Partey,Ghana,MF,0,32
Bernardo Silva,Portugal,MF,3,53
Scott McTominay,Scotland,MF,14,44
Lee Jae-sung,South Korea,MF,6,39
Weston McKennie,United States,MF,9,48
Mohammad Mohebi,Iran,MF,3,31
Ryan Mendes,Cape Verde,FW,37,5
Denzel Dumfries,Netherlands,DF,5,28
Gavi (footballer),Spain,MF,0,13
Pedri,Spain,MF,2,43
Vinícius Júnior,Brazil,FW,22,53
Luka Modrić,Croatia,MF,2,37
Deniz Undav,Germany,FW,25,46
Takefusa Kubo,Japan,MF,,
Virgil van Dijk,Netherlands,DF,8,55
Ali Olwan,Jordan,FW,,
Hassan Al-Haydos,Qatar,FW,1,10
Remo Freuler,Switzerland,MF,1,40
José María Giménez,Uruguay,DF,1,25
Saleh Al-Shehri,Saudi Arabia,FW,,
Jonathan Osorio,Canada,MF,,
José Fajardo (footballer),Panama,FW,,
"Ismael Díaz (footballer, born 1997)",Panama,MF,,
Ché Adams,Scotland,FW,8,36
João Cancelo,Portugal,DF,3,29
João Félix,Portugal,FW,26,47
Cho Gue-sung,South Korea,FW,7,42
David Alaba,Austria,DF,0,16
Youri Tielemans,Belgium,MF,2,38
Casemiro,Brazil,MF,9,35
Juninho Bacuna,Curaçao,MF,,
Leandro Bacuna,Curaçao,MF,9,38
Ali Abdi (footballer),Tunisia,DF,3,32
Jhon Córdoba,Colombia,FW,22,41
Juan Fernando Quintero,Colombia,MF,,
Antonio Nusa,Norway,FW,5,35
Ricardo Rodriguez (footballer),Switzerland,DF,0,35
Lee Kang-in,South Korea,MF,4,39
Yéremy Pino,Spain,FW,5,53
"Rodri (footballer, born 1996)",Spain,MF,2,33
Leandro Trossard,Belgium,FW,8,50
Antonio Sanabria,Paraguay,FW,1,25
Edson Álvarez,Mexico,DF,0,18
Alexis Vega (Mexican footballer),Mexico,FW,,
Dan Ndoye,Switzerland,FW,2,37
Marquinhos,Brazil,DF,2,32
Tajon Buchanan,Canada,FW,7,43
Firas Al-Buraikan,Saudi Arabia,FW,,
Lyle Foster,South Africa,FW,,
Brenden Aaronson,United States,FW,4,42
Folarin Balogun,United States,FW,19,43
Giovanni Reyna,United States,MF,1,19
Amine Gouiri,Algeria,FW,11,28
"Luis Suárez (footballer, born 1997)",Colombia,FW,38,53
Jefferson Lerma,Colombia,MF,0,48
Mario Pašalić,Croatia,MF,10,46
Meschak Elia,DR Congo,FW,0,20
Mehdi Ghayedi,Iran,FW,,
Gonçalo Ramos,Portugal,FW,12,45
Gonzalo Plata,Ecuador,FW,,
Firas Chaouat,Tunisia,FW,,
Ollie Watkins,England,FW,21,55
Declan Rice,England,MF,5,55
Jude Bellingham,England,MF,8,40
Michael Olise,France,FW,22,52
Alphonso Davies,Canada,DF,1,23
Jamal Musiala,Germany,MF,5,24
"Teboho Mokoena (soccer, born 1997)",South Africa,MF,,
Themba Zwane,South Africa,MF,,
Kaku (footballer),Paraguay,FW,3,8
Lyndon Dykes,Scotland,FW,5,43
Ryan Christie,Scotland,MF,2,27
Ramy Bensebaini,Algeria,DF,7,32
Seko Fofana,Ivory Coast,MF,4,30
Santiago Giménez,Mexico,FW,1,18
Anthony Elanga,Sweden,FW,3,49
Nikola Vlašić,Croatia,MF,9,41
Nick Woltemade,Germany,FW,12,54
Tijjani Reijnders,Netherlands,MF,7,47
Cecilio Waterman,Panama,FW,,
Jørgen Strand Larsen,Norway,FW,10,48
Nicolas Jackson,Senegal,FW,11,34
Martín Zubimendi,Spain,MF,6,57
Nestory Irankunda,Australia,FW,4,37
Ben Waine,New Zealand,FW,8,37
Elijah Just,New Zealand,MF,7,39
Abdullah Al-Hamdan,Saudi Arabia,FW,,
Oswin Appollis,South Africa,FW,,
Haji Wright,United States,FW,18,43
Timothy Weah,United States,FW,3,41
Davinson Sánchez,Colombia,DF,2,45
Jhon Arias (footballer),Colombia,MF,2,26
Omar Marmoush,Egypt,FW,8,36
Louicius Deedson,Haiti,FW,7,29
Mahmoud Al-Mardi,Jordan,FW,,
Nicolás de la Cruz,Uruguay,MF,,
Aïssa Mandi,Algeria,DF,1,40
Thomas Meunier,Belgium,DF,1,35
Jacob Shaffelburg,Canada,MF,,
Amad Diallo,Ivory Coast,FW,2,33
Oumar Diakité,Ivory Coast,FW,0,0
Gonçalo Guedes,Portugal,FW,9,39
Merih Demiral,Turkey,DF,2,32
Arda Güler,Turkey,FW,6,51
İrfan Can Kahveci,Turkey,FW,0,12
Jaloliddin Masharipov,Uzbekistan,MF,0,2
Adil Boulbina,Algeria,FW,,
Houssem Aouar,Algeria,MF,15,35
Nabil Bentaleb,Algeria,MF,2,37
Roberto Alvarado,Mexico,FW,,
Luis Chávez (footballer),Mexico,MF,0,5
Lamine Yamal,Spain,FW,24,45
Nico Williams,Spain,FW,6,32
Daizen Maeda,Japan,MF,17,54
Ken Sema,Sweden,MF,0,36
Axel Witsel,Belgium,MF,1,32
Gervane Kastaneer,Curaçao,FW,4,12
Yoane Wissa,DR Congo,FW,3,28
Lamine Camara,Senegal,MF,4,32
Alexis Mac Allister,Argentina,MF,5,55
Enzo Fernández,Argentina,MF,15,54
"Nicolás González (footballer, born 1998)",Argentina,MF,5,39
Bradley Barcola,France,FW,13,49
Marcus Thuram,France,FW,18,44
Aurélien Tchouaméni,France,MF,2,49
Tomáš Chorý,Czech Republic,FW,17,33
Wataru Endo,Japan,MF,0,12
Thelo Aasgaard,Norway,MF,8,48
Yoel Bárcenas,Panama,MF,0,8
Mehdi Torabi,Iran,MF,2,18
Kosta Barbarouses,New Zealand,FW,5,24
Cedric Itten,Switzerland,FW,,
Christian Fassnacht,Switzerland,FW,19,42
Kenan Yıldız,Turkey,FW,11,47
Kaan Ayhan,Turkey,MF,0,12
Jordan Bos,Australia,DF,4,35
Ajdin Hrustic,Australia,FW,4,24
Simon Adingra,Ivory Coast,FW,4,32
Lawrence Shankland,Scotland,FW,20,34
Montassar Talbi,Tunisia,DF,0,31
Elias Achouri,Tunisia,FW,5,37
Elias Saad,Tunisia,FW,0,11
Hazem Mastouri,Tunisia,FW,4,30
Anis Ben Slimane,Tunisia,MF,5,26
Ellyes Skhiri,Tunisia,MF,0,34
Oston Urunov,Uzbekistan,MF,3,21
Vladimír Darida,Czech Republic,MF,9,28
Antonio Rüdiger,Germany,DF,1,26
Derrick Etienne Jr.,Haiti,FW,,
Michael Amir Murillo,Panama,DF,4,40
Brian Rodríguez,Uruguay,FW,3,7
Jérémy Doku,Belgium,FW,,
Daniel Muñoz (footballer),Colombia,DF,5,46
César Montes,Mexico,DF,4,29
Luis Romo,Mexico,MF,,
Nathan Aké,Netherlands,DF,0,32
"Julio Enciso (footballer, born 2004)",Paraguay,FW,12,42
Evidence Makgopa,South Africa,FW,,
Silvan Widmer,Switzerland,DF,3,40
Leandro Paredes,Argentina,MF,,
"Endrick (footballer, born 2006)",Brazil,FW,8,24
Gabriel Martinelli,Brazil,FW,11,53
Mojmír Chytil,Czech Republic,FW,14,36
"Félix Torres (footballer, born 1997)",Ecuador,DF,,
"Gustaf Nilsson (footballer, born 1997)",Sweden,FW,0,11
Nicolás Otamendi,Argentina,DF,3,49
Konrad Laimer,Austria,MF,3,47
Hans Vanaken,Belgium,MF,12,57
Garry Rodrigues,Cape Verde,MF,,
Hossein Kanaanizadegan,Iran,DF,3,19
Ramin Rezaeian,Iran,DF,2,18
Gustavo Gómez,Paraguay,DF,,
Boualem Khoukhi,Qatar,DF,,
Mohammed Muntari,Qatar,FW,,
Oh Hyeon-gyu,South Korea,FW,18,48
Hwang In-beom,South Korea,MF,1,24
Aymeric Laporte,Spain,DF,0,30
Álex Baena,Spain,MF,2,46
Antonee Robinson,United States,DF,1,26
Otabek Shukurov,Uzbekistan,MF,,
Dailon Livramento,Cape Verde,FW,,
Chancel Mbemba,DR Congo,DF,0,21
Théo Bongonda,DR Congo,MF,0,6
"José Luis Rodríguez (footballer, born 1998)",Panama,MF,1,20
Ibrahim Bayesh,Iraq,MF,,
Bilal El Khannouss,Morocco,MF,9,44
Kristian Thorstvedt,Norway,MF,4,33
Martin Ødegaard,Norway,MF,1,36
Mohamed Kanno,Saudi Arabia,MF,5,44
Charles De Ketelaere,Belgium,FW,5,42
Dodi Lukébakio,Belgium,FW,2,25
Idrissa Gueye,Senegal,MF,2,25
Manuel Akanji,Switzerland,DF,2,45
Barış Alper Yılmaz,Turkey,FW,12,49
Yunus Akgün,Turkey,FW,4,11
Orkun Kökçü,Turkey,MF,10,41
Ismaël Koné,Canada,MF,6,36
Stephen Eustáquio,Canada,MF,0,16
Ehsan Hajsafi,Iran,DF,,
Evann Guessand,Ivory Coast,FW,4,35
Eric Davis (Panamanian footballer),Panama,DF,,
Pape Gueye,Senegal,MF,5,39
Abbosbek Fayzullaev,Uzbekistan,MF,0,1
Nishan Velupillay,Australia,FW,3,17
Alessandro Schöpf,Austria,MF,3,19
"Ladislav Krejčí (footballer, born 1999)",Czech Republic,DF,2,34
Adam Hložek,Czech Republic,FW,,
Pavel Šulc,Czech Republic,FW,15,42
Dayot Upamecano,France,DF,2,42
Théo Hernandez,France,DF,9,44
Désiré Doué,France,FW,13,41
Rayan Cherki,France,MF,10,52
Rafael Leão,Portugal,FW,10,31
Thiago Almada,Argentina,FW,4,40
Giovani Lo Celso,Argentina,MF,3,32
Gilson Benchimol,Cape Verde,FW,12,26
Kenji Gorré,Curaçao,FW,,
Fiston Mayele,DR Congo,FW,11,36
Pervis Estupiñán,Ecuador,DF,1,22
Eberechi Eze,England,MF,10,54
Amirhossein Hosseinzadeh,Iran,FW,10,23
Rodrigo Aguirre,Uruguay,FW,,
Maximiliano Araújo,Uruguay,MF,7,47
Rodrigo Bentancur,Uruguay,MF,1,34
Ante Budimir,Croatia,FW,19,40
Danley Jean Jacques,Haiti,MF,,
Jesús Gallardo,Mexico,DF,,
"Johan Vásquez (footballer, born 1998)",Mexico,DF,1,39
"Jorge Sánchez (footballer, born 1997)",Mexico,DF,1,21
César Huerta,Mexico,FW,2,17
Guillermo Martínez (footballer),Mexico,FW,,
Omar Alderete,Paraguay,DF,1,34
Diego Gómez (Paraguayan footballer),Paraguay,MF,10,37
Matías Galarza (Paraguayan footballer),Paraguay,MF,,
Bruno Guimarães,Brazil,MF,9,41
Mateo Kovačić,Croatia,MF,0,9
Jean Michaël Seri,Ivory Coast,MF,0,12
Matthew Garbett,New Zealand,MF,2,16
Júnior Alonso,Paraguay,DF,,
Victor Lindelöf,Sweden,DF,0,28
Benjamin Nygren,Sweden,MF,21,58
Yasin Ayari,Sweden,MF,4,32
Mohammad Abu Zrayq,Jordan,FW,,
Stefan Posch,Austria,DF,2,34
