team,player,issue,status,source_url
Algeria,Rayan Ait-Nouri,Manchester City injury setbacks noted ahead of the tournament,doubt,https://www.thenationalnews.com/sport/2026/06/06/amouras-ascent-petkovics-calming-influence-algeria-world-cup-talking-points/
Argentina,Lionel Messi,muscle fatigue / left hamstring strain (sustained 25 May with Inter Miami),doubt,https://www.nbcdfw.com/news/local/lionel-messi-is-in-argentinas-world-cup-squad-as-coach-calms-injury-fears/4030661/
Argentina,Emiliano Martinez,fractured ring finger from the Europa League final,doubt,https://www.nbcdfw.com/news/local/lionel-messi-is-in-argentinas-world-cup-squad-as-coach-calms-injury-fears/4030661/
Argentina,Cristian Romero,sprained collateral ligament in right knee,doubt,https://www.nbcdfw.com/news/local/lionel-messi-is-in-argentinas-world-cup-squad-as-coach-calms-injury-fears/4030661/
Argentina,Nahuel Molina,muscle injury,doubt,https://www.nbcdfw.com/news/local/lionel-messi-is-in-argentinas-world-cup-squad-as-coach-calms-injury-fears/4030661/
Argentina,Gonzalo Montiel,muscle injury,doubt,https://www.nbcdfw.com/news/local/lionel-messi-is-in-argentinas-world-cup-squad-as-coach-calms-injury-fears/4030661/
Argentina,Juan Foyth,injury ruling him out of the squad,out,https://worldsoccertalk.com/world-cup/lionel-scaloni-confirms-doubts-for-argentinas-2026-world-cup-roster-explains-criteria-for-selection/
Australia,Riley McGree,hamstring injury suffered in Middlesbrough's Championship play-off final defeat to Hull City,out,https://sports.yahoo.com/articles/inside-australias-world-cup-roster-011010681.html
Australia,Hayden Matthews,withdrew pre-tournament,out,https://sports.yahoo.com/articles/inside-australias-world-cup-roster-011010681.html
Australia,Nick D'Agostino,withdrew pre-tournament,out,https://sports.yahoo.com/articles/inside-australias-world-cup-roster-011010681.html
Austria,David Alaba,history of knee injury (missed Euro 2024); back in squad but injury-prone,returned,https://www.sofascore.com/news/the-2026-world-cup-warm-up-austria
Belgium,Romelu Lukaku,Limited playing time due to injury during the club season,returned,https://onefootball.com/en/news/rudi-garcia-names-belgium-squad-for-world-cup-42870752
Belgium,Malick Fofana,Top scorer in qualifying but omitted from the final 26-man squad,out,https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/rudi-garcia-s-official-belgium-squad-for-the-2026-fifa-world-cup-2026-05-15
Bosnia and Herzegovina,Haris Tabakovic,"injury, sat out the June 6 friendly vs Panama",doubt,https://www.el-balad.com/17017716
Bosnia and Herzegovina,Osman Hadzikic,withdrew injured from the squad,out,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads
Brazil,Neymar,Grade-two calf injury suffered playing for Santos vs Coritiba on 17 May 2026; missed warm-ups vs Panama and Egypt,doubt,https://www.espn.com/soccer/story/_/id/48965996/neymar-miss-brazil-final-pre-world-cup-friendly-vs-egypt
Brazil,Estevao,Right thigh muscle injury suffered playing for Chelsea on 18 April 2026; left off the squad,out,https://www.espn.com/soccer/story/_/id/48745620/chelsea-estevao-miss-world-cup-neymar-makes-brazil-preliminary-cut
Brazil,Rodrygo,"Serious injury; ruled out, described as a big blow",out,https://www.aljazeera.com/sports/2026/5/28/brazils-world-cup-2026-team-preview-players-to-watch-group-matches-squad
Brazil,Eder Militao,Serious injury; would have been a certain selection but misses the World Cup,out,https://www.espn.com/soccer/story/_/id/48745620/chelsea-estevao-miss-world-cup-neymar-makes-brazil-preliminary-cut
Canada,Alphonso Davies,hamstring injury,doubt,https://rg.org/en-ca/sportsbooks/world-cup-2026/canada
Canada,Marcelo Flores,torn ACL (right knee) suffered in Concacaf Champions Cup tie,out,https://www.foxsports.com/stories/soccer/canadas-marcelo-flores-ruled-out-world-cup-acl-injury
Canada,Moise Bombito,"leg injury, recovered",returned,https://www.foxsports.com/stories/soccer/winners-and-losers-from-canadas-world-cup-squad-promise-davids-recovery-alphonso-davies-progress-and-ralph-prisos-heartbreak
Canada,Promise David,"hip surgery earlier in 2026, recovered",returned,https://www.foxsports.com/stories/soccer/winners-and-losers-from-canadas-world-cup-squad-promise-davids-recovery-alphonso-davies-progress-and-ralph-prisos-heartbreak
Cape Verde,Logan Costa,Ruptured ACL in pre-season (July 2025); returned only for a 13-minute LaLiga cameo before being named in the squad,doubt,https://www.flashscore.com/news/soccer-world-cup-cape-verde-announce-world-cup-squad-take-gamble-on-star-defender-logan-costa/WhzAMbFi/
Colombia,James Rodriguez,Fitness/match-sharpness concern after fewer than 200 minutes of recent club football; on an individual training program,doubt,https://www.olympics.com/en/news/fifa-world-cup-2026-colombia-players-squad-list-key-stats-schedule
Croatia,Josko Gvardiol,Returned after recovering from a broken shin; back in the squad and played the Belgium friendly,returned,https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/zlatko-dali-s-official-croatia-squad-for-the-2026-fifa-world-cup-2026-05-18
Croatia,Mateo Kovacic,Overcame an injury to make the final squad,returned,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_Group_L
Czech Republic,Adam Hlozek,Missed most of the club season with calf and foot injuries; recovered to be included and tested in warm-ups,returned,https://www.fifa.com/en/articles/czechia-world-cup-squad-announced
Czech Republic,Jan Kuchta,Ankle injury sustained in warm-up against Kosovo; coaching staff expected to manage him carefully before the tournament,doubt,https://athlonsports.com/soccer/czechia-vs-guatemala-lineups-score-live-where-to-watch
Egypt,Mostafa Mohamed,Nantes striker omitted from the final 26-man squad in favor of teenager Hamza Abdelkarim,out,https://www.olympics.com/en/news/fifa-world-cup-2026-mohamed-salah-and-egypt-chase-first-ever-quarter-final-berth-all-players-full-squad-list-key-stats-and-schedule
England,Tino Livramento,Thigh issue after an injury-hit season (earlier knee injury),doubt,https://www.skysports.com/football/news/12016/13543455/england-world-cup-squad-announcement-ruthless-thomas-tuchel-leaves-big-names-out-of-26-man-squad
England,Djed Spence,Broke his jaw shortly before squad announcement but was still selected,doubt,https://www.skysports.com/football/news/12016/13543455/england-world-cup-squad-announcement-ruthless-thomas-tuchel-leaves-big-names-out-of-26-man-squad
England,Reece James,Only just back from a hamstring injury,returned,https://www.espn.com/soccer/story/_/id/48701061/england-world-cup-2026-schedule-fixtures-results-scores-group-l-how-watch-uk-news-analysis-injuries
England,John Stones,Lack of game time at Manchester City; Tuchel insists he is fit,doubt,https://www.skysports.com/football/news/12016/13543455/england-world-cup-squad-announcement-ruthless-thomas-tuchel-leaves-big-names-out-of-26-man-squad
France,Kylian Mbappe,Various niggles/injuries through the season; managed minutes in warm-ups,returned,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/france-world-cup-squad-named
Germany,Lennart Karl,torn muscle in final training session before USA friendly,out,https://www.espn.com/soccer/story/_/id/48977173/lennart-karl-injured-germany-training-miss-world-cup
Germany,Jamal Musiala,"recovering from broken leg and dislocated ankle (July), limited recent minutes",doubt,https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list
Ghana,Mohammed Kudus,Quadriceps muscle injury suffered in January with the Tottenham; complications in recovery ruled him out of the tournament entirely,out,https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/mohammed-kudus-ruled-out-of-the-2026-world-cup-as-ghana-loses-one-of-its-biggest-stars-ahead-of-the-tournament-2026-05-26
Ghana,Alexander Djiku,"Centre-back sidelined by injury, missed the cut",out,https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/ghana-at-the-2026-fifa-world-cup-squad-schedule-and-everything-you-need-to-know-2026-05-27
Iran,Sardar Azmoun,"Excluded from the squad (57 goals in 91 caps); local media reported he was dropped over a perceived act of disloyalty to the government, having also been omitted in March",out,https://www.flashscore.com/news/soccer-world-championship-taremi-and-jahanbakhsh-lead-iran-s-world-cup-squad-with-azmoun-overlooked/pGYQ1OUq/
Ivory Coast,Clement Akpa,"adductor/thigh injury in Auxerre training; ruled out, missed end of Ligue 1 season",out,https://africanfootball.com/news/838645/Operi-profits-from-Akpa-misfortune
Ivory Coast,Christopher Operi,"called up as Akpa's replacement; had own injury problems at Basaksehir, missing three of last five Super Lig games",returned,https://www.timeslive.co.za/sport/2026-05-30-operi-gets-world-cup-call-up-as-injury-replacement/
Japan,Kaoru Mitoma,Hamstring injury,out,https://www.aljazeera.com/sports/2026/5/22/japans-world-cup-2026-team-preview-players-to-watch-group-squad
Japan,Takumi Minamino,Injury,out,https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/hajime-moriyasu-s-official-japan-squad-for-the-2026-fifa-world-cup-2026-05-15
Japan,Hidemasa Morita,Injury,out,https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/hajime-moriyasu-s-official-japan-squad-for-the-2026-fifa-world-cup-2026-05-15
Jordan,Yazan Al-Naimat,"ACL injury, ruled out completely",out,https://www.thenationalnews.com/sport/football/2026/06/05/jordan-world-cup-talking-points-mousa-al-tamari-carries-nations-hopes-up-against-lionel-messi-and-co/
Jordan,Ali Olwan,"ankle ligament surgery in February, racing to prove fitness",doubt,https://www.thenationalnews.com/sport/football/2026/06/05/jordan-world-cup-talking-points-mousa-al-tamari-carries-nations-hopes-up-against-lionel-messi-and-co/
Jordan,Adham Al-Qurashi,unavailable for the World Cup,out,https://www.thenationalnews.com/sport/football/2026/06/05/jordan-world-cup-talking-points-mousa-al-tamari-carries-nations-hopes-up-against-lionel-messi-and-co/
Mexico,Santiago Gimenez,Injury struggles at AC Milan late in the season; missed March friendlies as both club and country felt it was too soon to return,returned,https://worldsoccertalk.com/world-cup/report-mexico-star-santiago-gimenez-risks-missing-2026-world-cup-amid-injury-struggles-at-milan/
Morocco,Nayef Aguerd,Selected despite not having played since March due to injury,doubt,https://www.aljazeera.com/sports/2026/6/3/morocco-world-cup-2026-preview-players-to-watch-group-and-squad-list
Netherlands,Xavi Simons,"Ruptured ACL suffered vs Wolves on April 25, 2026",out,https://thedakia.com/sports/football/netherlands-squad-world-cup-2026-talking-points/
Netherlands,Jeremie Frimpong,Omitted from the 26-man squad,out,https://www.flashscore.com/news/soccer-netherlands-football-world-cup-full-squad-list/46hO0YCm/
Netherlands,Memphis Depay,Persistent hamstring issues,returned,https://thedakia.com/sports/football/netherlands-squad-world-cup-2026-talking-points/
Norway,Martin Odegaard,Multiple injuries through the season limiting appearances; missed March friendlies,returned,https://www.aljazeera.com/sports/2026/5/26/norway-world-cup-2026-preview-players-to-watch-group-matches-squad-list
Norway,Oscar Bobb,Disrupted season after a serious earlier injury; struggled to reestablish himself but included in squad,returned,https://www.ladbrokes.com/en/news/norway-world-cup-preview-odds-key-players-predictions-2026-06-05/
Panama,Adalberto Carrasquilla,Stretchered off during the Liga MX final with Pumas; expected to be ready for the World Cup but a doubt,doubt,https://www.sportsmole.co.uk/football/panama/preview/panama-vs-bosnia-hvina-prediction-team-news-lineups_598665.html
Panama,Anibal Godoy,Discomfort on club duty with San Diego FC; expected to recover but listed as a doubt,doubt,https://www.sportsmole.co.uk/football/panama/preview/panama-vs-bosnia-hvina-prediction-team-news-lineups_598665.html
Panama,Luis Mejia,Nursing an injury while challenging for the starting goalkeeper role; Orlando Mosquera set to start,doubt,https://www.sportsmole.co.uk/football/panama/preview/panama-vs-bosnia-hvina-prediction-team-news-lineups_598665.html
Paraguay,Julio Enciso,double injury (side then lower back) sustained vs Nicaragua on June 5; Alfaro suggested up to ~3 weeks recovery,doubt,https://www.fantasyfootballscout.co.uk/2026/06/06/fantasy-fifa-world-cup-2026-team-previews-paraguay
Portugal,Rafael Leao,Straight red card (punching opponent) in Chile friendly on 6 June 2026,doubt,https://worldsoccertalk.com/news/portugal-vs-chile-live-updates-minute-by-minute-coverage-of-pre-world-cup-2026-international-friendly/
Saudi Arabia,Salman Al-Faraj,Veteran midfielder omitted by Donis after an injury-plagued spell; not selected despite returning to friendlies under Renard,out,https://www.fourfourtwo.com/team/saudi-arabia-world-cup-2026-squad
South Africa,Teboho Mokoena,Fitness watched ahead of the opener; described as an almost certain starter assuming he is fit,doubt,https://www.espn.com/espn/story/_/id/48963775/south-africa-vs-jamaica-hugo-broos-use-warm-iron-tactics-ahead-fifa-world-cup-opener
South Korea,Cho Yu-min,Withdrew injured from the squad; replaced by Cho Wi-je,out,https://www.espn.com/soccer/story/_/id/48788433/son-heung-min-south-korea-world-cup-squad-lee-kang-kim-min-jae
Spain,Lamine Yamal,Minor knock; rested for the Iraq warm-up but expected fit for the opener,doubt,https://www.espn.com/soccer/story/_/id/48957472/spain-lamine-yamal-injury-2026-world-cup-cape-verde-de-la-fuente
Spain,Nico Williams,Carrying an injury; did not play the Iraq warm-up,doubt,https://russpain.com/en/news-3/spain-begins-2026-world-cup-prep-with-iraq-match-in-la-coruna-476870/
Spain,Victor Munoz,Injured; did not feature in the Iraq warm-up,doubt,https://www.espn.com/soccer/story/_/id/48957472/spain-lamine-yamal-injury-2026-world-cup-cape-verde-de-la-fuente
Sweden,Emil Holm,Muscular/pre-tournament injury forcing withdrawal,out,https://football-italia.net/juventus-holm-withdrawal-sweden-wc-squad/
Sweden,Herman Johansson,Called up on May 30 as injury replacement for Emil Holm,returned,https://www.mlssoccer.com/competitions/fifa-world-cup/news/herman-johansson-world-cup-profile-sweden-fc-dallas-defender
Switzerland,Breel Embolo,"travel authorization to the United States under review, casting doubt on availability",doubt,https://socceroos.com.au/news/match-preview-commbank-socceroos-v-switzerland-international-friendly
Switzerland,Zeki Amdouni,limited playing time at Burnley after returning from a serious ACL injury,returned,https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/murat-yakin-s-official-switzerland-squad-for-the-2026-fifa-world-cup-2026-05-20
Switzerland,Fabian Rieder,missed a recent preparation friendly,doubt,https://socceroos.com.au/news/match-preview-commbank-socceroos-v-switzerland-international-friendly
Switzerland,Noah Okafor,missed a recent preparation friendly,doubt,https://socceroos.com.au/news/match-preview-commbank-socceroos-v-switzerland-international-friendly
Turkey,Hakan Calhanoglu,"muscular strain in the soleus of the left leg late in the season; named in squad and set to captain, managing a minor issue",returned,https://www.dailysabah.com/sports/football/turkiye-fret-over-calhanoglu-guler-fitness-ahead-of-crucial-summer
Turkey,Arda Guler,"muscle injury in the femoral biceps of the right leg (~4 weeks), expected to recover for the tournament; named in squad",returned,https://www.dailysabah.com/sports/football/turkiye-fret-over-calhanoglu-guler-fitness-ahead-of-crucial-summer
United States,Johnny Cardoso,high-grade right ankle sprain requiring surgery,out,https://www.cbssports.com/soccer/news/usmnts-johnny-cardoso-injury-mauricio-pochettinos-world-cup-may/
United States,Chris Richards,"two torn ankle ligaments suffered vs Brentford on May 17; training individually, not yet match-fit",doubt,https://www.cbssports.com/soccer/news/usmnts-chris-richards-training-individually-injury-status-still-unclear-for-world-cup-opener/
United States,Patrick Agyemang,injury ruling him out of the World Cup,out,https://www.espn.com/soccer/story/_/id/48854192/usa-2026-world-cup-roster-gio-reyna-diego-luna-zendejas
